type,completed_at,session_number,duration_minutes,task
Work,2024-12-18 07:04:00,7,26,Database Cleanup
Work,2024-12-17 18:11:00,1,33,Refactor Code
Work,2024-12-17 07:17:00,2,33,Client Call
Work,2024-12-17 19:32:00,3,28,Email Review
Work,2024-12-17 16:18:00,4,37,Read Docs
Work,2024-12-17 07:28:00,5,44,Brainstorm Ideas
Short Break,2024-12-16 11:05:00,1,6,
Short Break,2024-12-16 13:04:00,2,7,
Work,2024-12-16 18:36:00,3,28,Test Features
Work,2024-12-16 00:34:00,4,29,Read Docs
Work,2024-12-16 22:26:00,5,27,Brainstorm Ideas
Work,2024-12-16 06:07:00,6,36,Email Review
Work,2024-12-16 01:37:00,7,27,Client Call
Short Break,2024-12-15 09:46:00,1,6,
Work,2024-12-15 12:54:00,2,34,Refactor Code
Work,2024-12-15 15:34:00,3,33,Refactor Code
Short Break,2024-12-15 10:46:00,4,4,
Work,2024-12-15 10:24:00,5,26,Test Features
Work,2024-12-14 12:35:00,1,26,Database Cleanup
Long Break,2024-12-14 08:05:00,2,18,
Work,2024-12-14 09:37:00,3,26,Debug UI
Short Break,2024-12-14 06:01:00,4,7,
Work,2024-12-14 20:50:00,5,36,Write Report
Work,2024-12-14 01:28:00,6,31,Read Docs
Work,2024-12-14 22:18:00,7,29,Database Cleanup
Work,2024-12-14 20:54:00,8,37,Debug UI
Work,2024-12-14 18:41:00,9,35,Design Slides
Work,2024-12-13 22:31:00,1,42,Write Report
Work,2024-12-13 03:10:00,2,44,Email Review
Work,2024-12-13 17:51:00,3,33,Design Slides
Work,2024-12-13 13:11:00,4,26,Design Slides
Work,2024-12-13 08:51:00,5,34,Email Review
Work,2024-12-13 13:27:00,6,33,Write Report
Work,2024-12-13 07:21:00,7,41,Design Slides
Work,2024-12-13 00:25:00,8,41,Email Review
Short Break,2024-12-13 08:56:00,9,6,
Work,2024-12-13 00:15:00,10,26,Debug UI
Work,2024-12-12 09:44:00,1,33,Email Review
Long Break,2024-12-12 12:30:00,2,15,
Long Break,2024-12-12 14:28:00,3,10,
Long Break,2024-12-12 14:41:00,4,18,
Work,2024-12-12 23:31:00,5,33,Refactor Code
Work,2024-12-12 14:03:00,6,34,Design Slides
Short Break,2024-12-12 21:58:00,7,6,
Work,2024-12-12 12:30:00,8,34,Refactor Code
Work,2024-12-11 12:09:00,1,33,Refactor Code
Work,2024-12-11 21:27:00,2,36,Brainstorm Ideas
Long Break,2024-12-11 03:41:00,3,18,
Work,2024-12-11 12:51:00,4,35,Read Docs
Work,2024-12-11 19:39:00,5,26,Write Report
Work,2024-12-11 23:07:00,6,35,Test Features
Long Break,2024-12-11 21:41:00,7,20,
Short Break,2024-12-11 05:25:00,8,4,
Short Break,2024-12-10 23:47:00,1,6,
Work,2024-12-10 03:44:00,2,35,Database Cleanup
Short Break,2024-12-10 00:07:00,3,5,
Short Break,2024-12-10 12:08:00,4,4,
Work,2024-12-10 09:26:00,5,29,Refactor Code
Work,2024-12-10 04:37:00,6,39,Code Review
Work,2024-12-10 07:43:00,7,33,Client Call
Work,2024-12-10 17:22:00,8,26,Brainstorm Ideas
Long Break,2024-12-10 07:37:00,9,13,
Short Break,2024-12-10 06:04:00,10,4,
Short Break,2024-12-09 15:14:00,1,6,
Work,2024-12-09 02:18:00,2,43,Debug UI
Long Break,2024-12-09 21:10:00,3,16,
Short Break,2024-12-09 14:28:00,4,5,
Work,2024-12-09 23:29:00,5,28,Refactor Code
Short Break,2024-12-09 02:07:00,6,7,
Short Break,2024-12-09 11:40:00,7,7,
Work,2024-12-08 03:25:00,1,42,Database Cleanup
Work,2024-12-08 02:49:00,2,36,Read Docs
Long Break,2024-12-08 06:34:00,3,11,
Work,2024-12-08 08:37:00,4,41,Debug UI
Short Break,2024-12-08 23:24:00,5,7,
Work,2024-12-08 15:37:00,6,40,Read Docs
Work,2024-12-08 08:49:00,7,29,Email Review
Work,2024-12-08 22:46:00,8,26,Refactor Code
Work,2024-12-08 07:46:00,9,36,Write Report
Long Break,2024-12-08 12:41:00,10,14,
Work,2024-12-07 14:49:00,1,39,Email Review
Work,2024-12-07 14:28:00,2,25,Database Cleanup
Short Break,2024-12-07 16:25:00,3,4,
Short Break,2024-12-07 16:58:00,4,5,
Work,2024-12-07 02:58:00,5,33,Database Cleanup
Work,2024-12-07 11:31:00,6,44,Test Features
Work,2024-12-07 10:26:00,7,30,Email Review
Work,2024-12-07 07:37:00,8,35,Code Review
Long Break,2024-12-07 06:15:00,9,17,
Work,2024-12-07 10:31:00,10,45,Read Docs
Short Break,2024-12-06 08:20:00,1,5,
Short Break,2024-12-06 07:55:00,2,4,
Work,2024-12-06 20:26:00,3,34,Database Cleanup
Work,2024-12-06 16:54:00,4,33,Database Cleanup
Short Break,2024-12-06 00:41:00,5,6,
Short Break,2024-12-06 18:17:00,6,4,
Work,2024-12-05 02:21:00,1,37,Debug UI
Work,2024-12-05 07:42:00,2,33,Database Cleanup
Short Break,2024-12-05 10:08:00,3,4,
Long Break,2024-12-05 05:57:00,4,10,
Short Break,2024-12-05 05:52:00,5,4,
Work,2024-12-04 14:52:00,1,44,Write Report
Work,2024-12-04 18:35:00,2,29,Client Call
Long Break,2024-12-04 02:14:00,3,20,
Work,2024-12-04 10:02:00,4,42,Brainstorm Ideas
Work,2024-12-04 14:40:00,5,26,Test Features
Work,2024-12-04 09:29:00,6,26,Design Slides
Work,2024-12-04 19:26:00,7,25,Test Features
Short Break,2024-12-04 18:13:00,8,6,
Long Break,2024-12-04 15:29:00,9,15,
Work,2024-12-04 23:56:00,10,37,Database Cleanup
Short Break,2024-12-03 14:29:00,1,7,
Work,2024-12-03 06:05:00,2,28,Client Call
Short Break,2024-12-03 09:03:00,3,4,
Work,2024-12-03 23:37:00,4,43,Debug UI
Short Break,2024-12-03 14:35:00,5,6,
Short Break,2024-12-03 17:01:00,6,4,
Short Break,2024-12-03 03:14:00,7,6,
Work,2024-12-03 21:39:00,8,27,Test Features
Work,2024-12-02 01:59:00,1,38,Code Review
Work,2024-12-02 15:54:00,2,30,Write Report
Short Break,2024-12-02 18:28:00,3,4,
Work,2024-12-02 12:17:00,4,29,Code Review
Short Break,2024-12-02 12:12:00,5,6,
Work,2024-12-02 16:03:00,6,39,Code Review
Work,2024-12-02 01:45:00,7,25,Test Features
Short Break,2024-12-01 07:02:00,1,5,
Work,2024-12-01 09:39:00,2,32,Database Cleanup
Short Break,2024-12-01 08:36:00,3,6,
Work,2024-12-01 02:53:00,4,40,Refactor Code
Short Break,2024-12-01 11:11:00,5,6,
Short Break,2024-12-01 23:20:00,6,4,
Short Break,2024-12-01 13:17:00,7,4,
Work,2024-12-01 11:46:00,8,44,Design Slides
Work,2024-11-30 22:43:00,1,33,Design Slides
Work,2024-11-30 19:53:00,2,25,Database Cleanup
Short Break,2024-11-30 16:34:00,3,4,
Short Break,2024-11-30 16:37:00,4,7,
Work,2024-11-30 03:46:00,5,39,Write Report
Work,2024-11-30 11:53:00,6,29,Read Docs
Work,2024-11-30 19:35:00,7,39,Refactor Code
Short Break,2024-11-30 19:49:00,8,7,
Work,2024-11-30 11:31:00,9,33,Refactor Code
Short Break,2024-11-29 15:46:00,1,5,
Work,2024-11-29 11:19:00,2,32,Debug UI
Short Break,2024-11-29 07:31:00,3,4,
Work,2024-11-29 11:19:00,4,41,Test Features
Work,2024-11-29 10:48:00,5,32,Test Features
Work,2024-11-29 13:28:00,6,33,Refactor Code
Short Break,2024-11-29 10:49:00,7,5,
Work,2024-11-29 05:23:00,8,34,Code Review
Work,2024-11-29 18:31:00,9,44,Write Report
Short Break,2024-11-29 20:18:00,10,7,
Long Break,2024-11-28 19:53:00,1,14,
Short Break,2024-11-28 03:59:00,2,4,
Short Break,2024-11-28 18:40:00,3,6,
Short Break,2024-11-28 01:46:00,4,4,
Short Break,2024-11-28 09:23:00,5,7,
Work,2024-11-27 11:39:00,1,42,Refactor Code
Work,2024-11-27 16:34:00,2,44,Debug UI
Short Break,2024-11-27 17:01:00,3,7,
Work,2024-11-27 15:21:00,4,45,Database Cleanup
Work,2024-11-27 03:31:00,5,35,Write Report
Work,2024-11-27 22:23:00,6,44,Database Cleanup
Work,2024-11-27 09:43:00,7,35,Read Docs
Work,2024-11-27 00:44:00,8,44,Email Review
Short Break,2024-11-27 23:38:00,9,6,
Short Break,2024-11-27 21:53:00,10,5,
Short Break,2024-11-26 00:07:00,1,6,
Work,2024-11-26 20:23:00,2,43,Code Review
Long Break,2024-11-26 13:20:00,3,18,
Short Break,2024-11-26 20:11:00,4,6,
Work,2024-11-26 18:26:00,5,28,Brainstorm Ideas
Work,2024-11-26 07:19:00,6,28,Email Review
Work,2024-11-26 11:59:00,7,29,Brainstorm Ideas
Work,2024-11-25 16:32:00,1,35,Brainstorm Ideas
Work,2024-11-25 11:32:00,2,27,Debug UI
Work,2024-11-25 21:54:00,3,35,Debug UI
Work,2024-11-25 23:48:00,4,42,Client Call
Work,2024-11-25 23:15:00,5,26,Debug UI
Work,2024-11-24 21:35:00,1,40,Client Call
Short Break,2024-11-24 10:18:00,2,7,
Long Break,2024-11-24 21:31:00,3,11,
Work,2024-11-24 20:37:00,4,32,Database Cleanup
Work,2024-11-24 20:03:00,5,41,Read Docs
Work,2024-11-24 09:08:00,6,27,Database Cleanup
Work,2024-11-24 19:45:00,7,38,Database Cleanup
Work,2024-11-24 10:22:00,8,27,Client Call
Work,2024-11-23 22:17:00,1,39,Debug UI
Work,2024-11-23 19:26:00,2,32,Code Review
Work,2024-11-23 09:34:00,3,28,Write Report
Work,2024-11-23 18:31:00,4,27,Design Slides
Work,2024-11-23 13:22:00,5,30,Write Report
Long Break,2024-11-23 09:34:00,6,20,
Work,2024-11-23 16:07:00,7,25,Code Review
Short Break,2024-11-23 03:20:00,8,7,
Work,2024-11-23 15:06:00,9,41,Brainstorm Ideas
Short Break,2024-11-23 09:49:00,10,4,
Work,2024-11-22 15:26:00,1,25,Debug UI
Short Break,2024-11-22 20:08:00,2,7,
Work,2024-11-22 02:13:00,3,41,Client Call
Short Break,2024-11-22 20:37:00,4,4,
Long Break,2024-11-22 03:06:00,5,12,
Work,2024-11-22 20:15:00,6,26,Write Report
Work,2024-11-22 23:32:00,7,43,Refactor Code
Work,2024-11-22 07:50:00,8,34,Email Review
Work,2024-11-22 19:20:00,9,28,Write Report
Short Break,2024-11-21 02:34:00,1,7,
Short Break,2024-11-21 06:12:00,2,6,
Work,2024-11-21 22:38:00,3,28,Email Review
Work,2024-11-21 10:12:00,4,35,Brainstorm Ideas
Work,2024-11-21 03:43:00,5,45,Test Features
Work,2024-11-21 00:38:00,6,27,Write Report
Work,2024-11-21 20:48:00,7,45,Design Slides
Work,2024-11-21 00:17:00,8,29,Email Review
Long Break,2024-11-21 04:47:00,9,11,
